product_id,name,description,category,price,cost,stock_quantity,created_at,updated_at
1,A vantagem de avançar em estado puro,"Officiis veniam deserunt blanditiis.
Corporis dignissimos repellendus est ratione a in adipisci. Autem animi vitae cumque sequi officia porro porro.",Livros,2354.19,962.9,344,2025-05-11 23:46:31,2025-05-11 23:46:31
2,A segurança de inovar com confiança,"Officia iste neque fugit iure. Odit tempora ducimus natus incidunt porro reiciendis occaecati.
Quibusdam error aperiam deleniti. Itaque quam totam beatae.",Móveis,3329.18,1628.11,355,2025-05-11 23:46:31,2025-05-11 23:46:31
3,A possibilidade de inovar mais facilmente,Rem enim rem eum inventore voluptatem sed labore. Repudiandae commodi adipisci ea hic.,Móveis,3318.26,2353.18,208,2025-05-11 23:46:31,2025-05-11 23:46:31
4,A simplicidade de atingir seus objetivos mais facilmente,"Ab neque harum possimus et praesentium dolorum. Dicta ab libero. Corporis sed in et.
Tempore qui fugit harum et excepturi natus. Cupiditate voluptatibus molestias enim nobis commodi quia quidem.",Alimentos,3920.39,2986.02,382,2025-05-11 23:46:31,2025-05-11 23:46:31
5,A vantagem de atingir seus objetivos mais rapidamente,"Tempora officiis nisi non autem. Accusamus neque hic perferendis beatae eveniet totam.
Cumque nostrum quis reiciendis atque excepturi quibusdam. Assumenda nulla architecto libero harum.",Móveis,4910.86,3448.79,74,2025-05-11 23:46:31,2025-05-11 23:46:31
6,O direito de atingir seus objetivos com toda a tranquilidade,Eveniet eveniet consectetur nisi similique. Aliquam provident quae quaerat expedita saepe rerum similique. Eveniet earum minima quidem.,Vestuário,3537.63,2065.12,123,2025-05-11 23:46:31,2025-05-11 23:46:31
7,O poder de realizar seus sonhos naturalmente,Et voluptate consequatur esse rerum quos. Similique distinctio enim nam aspernatur ipsa. Accusamus perspiciatis illum rerum beatae dolorem pariatur. Maxime vero unde accusamus amet.,Vestuário,4227.23,2774.83,100,2025-05-11 23:46:31,2025-05-11 23:46:31
8,O poder de mudar direto da fonte,Natus aliquid numquam labore blanditiis corporis nam. Adipisci expedita optio similique dolore.,Livros,1471.4,589.62,492,2025-05-11 23:46:31,2025-05-11 23:46:31
9,O poder de ganhar com confiança,"Voluptatibus ipsum harum placeat animi modi. Repellat labore ea.
Architecto quam perferendis. Inventore nulla quis reiciendis dolor esse.",Alimentos,1969.48,1023.76,117,2025-05-11 23:46:31,2025-05-11 23:46:31
10,O direito de mudar simplesmente,Excepturi nemo aperiam aliquam provident libero. Cum provident sunt voluptas dicta sit. Sed aliquid autem adipisci officia.,Móveis,3870.89,1963.16,301,2025-05-11 23:46:31,2025-05-11 23:46:31
11,O conforto de realizar seus sonhos sem preocupação,Rerum repellat quaerat architecto nisi. Nostrum velit occaecati ex temporibus corporis ab. Itaque occaecati quas maxime adipisci cupiditate.,Eletrônicos,680.0,430.55,382,2025-05-11 23:46:31,2025-05-11 23:46:31
12,O direito de atingir seus objetivos antes de tudo,Vero atque excepturi omnis ex. Sit in non inventore quia deleniti eligendi recusandae.,Eletrônicos,1757.79,1097.55,319,2025-05-11 23:46:31,2025-05-11 23:46:31
13,A arte de atingir seus objetivos simplesmente,"Veniam provident exercitationem quos iure quam. Perferendis autem distinctio exercitationem temporibus.
Aut suscipit quis. Quibusdam sint qui totam dolorem.",Livros,407.28,186.63,371,2025-05-11 23:46:31,2025-05-11 23:46:31
14,A arte de conseguir simplesmente,Natus exercitationem sapiente repudiandae maiores cupiditate recusandae. Voluptates distinctio mollitia neque quidem. Ipsa earum nesciunt dolorum.,Móveis,840.95,460.27,159,2025-05-11 23:46:31,2025-05-11 23:46:31
15,O poder de evoluir em estado puro,Eum deserunt totam maxime quas adipisci. Delectus dolore alias optio labore modi. Soluta perspiciatis repellat ipsam.,Móveis,3473.46,1967.62,215,2025-05-11 23:46:31,2025-05-11 23:46:31
16,A possibilidade de mudar sem preocupação,"Quam nisi perferendis consequatur.
Soluta et reiciendis sapiente beatae cum tempore. Labore veritatis deleniti aliquam vero est.
Cumque rem placeat esse harum. Sunt ipsa qui.",Móveis,1149.91,497.72,344,2025-05-11 23:46:31,2025-05-11 23:46:31
17,A simplicidade de avançar sem preocupação,"Aliquam illum velit illum voluptatem magni. Debitis dolore sit possimus.
Aut earum reprehenderit quisquam ut perferendis nemo. Quia laborum quas unde impedit. Nisi corrupti sint magnam impedit.",Vestuário,807.96,529.75,3,2025-05-11 23:46:31,2025-05-11 23:46:31
18,A simplicidade de ganhar direto da fonte,"Dolorem odio aliquam rem quisquam corporis. Maiores molestiae magnam maxime.
Ab libero id vitae illum saepe asperiores. Aut distinctio asperiores delectus. Quaerat nisi maiores amet enim.",Móveis,473.63,349.57,287,2025-05-11 23:46:31,2025-05-11 23:46:31
19,A certeza de atingir seus objetivos sem preocupação,"Non inventore excepturi deserunt nisi doloremque minus.
Quae fugit earum corporis voluptatem alias consectetur.
Sed quam ullam molestiae earum. Atque totam voluptas expedita eos ipsum ad eaque.",Móveis,775.13,498.21,131,2025-05-11 23:46:31,2025-05-11 23:46:31
20,O prazer de atingir seus objetivos naturalmente,Adipisci iste beatae dolorum. Delectus vel numquam accusantium quisquam doloremque nihil. Recusandae ipsa cum quos. Earum fugit officia.,Alimentos,2905.02,1229.52,460,2025-05-11 23:46:31,2025-05-11 23:46:31
21,A possibilidade de mudar sem preocupação,Vitae exercitationem itaque vitae. Qui ex quaerat rerum tenetur explicabo.,Móveis,626.88,307.89,339,2025-05-11 23:46:31,2025-05-11 23:46:31
22,A arte de realizar seus sonhos direto da fonte,"Dolorum quia corrupti explicabo ipsam quidem. Veniam laborum consectetur tempore.
Sunt vero mollitia similique hic ut inventore voluptate.",Eletrônicos,1242.72,593.98,106,2025-05-11 23:46:31,2025-05-11 23:46:31
23,A arte de inovar simplesmente,"Laborum tempora non eius. Velit at natus facilis nostrum.
Nemo nemo necessitatibus nemo eligendi. Consequuntur quis maiores blanditiis tempora cupiditate veritatis.",Eletrônicos,4244.85,2074.31,381,2025-05-11 23:46:31,2025-05-11 23:46:31
24,A simplicidade de inovar direto da fonte,Praesentium laborum minima dolorum repellat ullam. Eos sint neque sint corrupti sed. Ex tempora similique corrupti magnam animi. Nulla nisi eos exercitationem deserunt eligendi facere.,Móveis,3360.63,1902.87,342,2025-05-11 23:46:31,2025-05-11 23:46:31
25,A arte de avançar antes de tudo,Quam cupiditate iusto illo ratione. Veritatis labore tempore magnam est explicabo.,Alimentos,1109.55,754.26,52,2025-05-11 23:46:31,2025-05-11 23:46:31
26,A vantagem de evoluir com força total,"Ad a nobis ducimus dicta cum. Fuga ex exercitationem odit facilis ab fugiat. Nemo repudiandae sint quasi dolor iure.
Incidunt totam vel veritatis ratione est nam eligendi.",Eletrônicos,4474.48,3420.22,247,2025-05-11 23:46:31,2025-05-11 23:46:31
27,O poder de evoluir mais rapidamente,"Harum culpa iure iste odit. Dolores facere enim.
Magnam sapiente similique ipsum. Quod praesentium minus doloribus similique hic.",Alimentos,3044.4,1894.73,457,2025-05-11 23:46:31,2025-05-11 23:46:31
28,A liberdade de ganhar com toda a tranquilidade,Ad a non eum labore eius fugit. Aliquid aperiam exercitationem ab veniam laborum impedit. Non quos occaecati eaque.,Móveis,3189.07,1770.89,356,2025-05-11 23:46:31,2025-05-11 23:46:31
29,A arte de concretizar seus projetos com força total,"Harum impedit qui delectus odit natus magni.
Eligendi quis dolores eligendi consequatur itaque. Ullam nobis eum repellendus.",Livros,3121.53,1902.38,197,2025-05-11 23:46:31,2025-05-11 23:46:31
30,A segurança de avançar simplesmente,"Inventore nam officia minima in nisi. Minima et nostrum. Labore commodi amet.
Est enim laborum quidem ex consectetur.",Vestuário,1615.28,701.28,437,2025-05-11 23:46:31,2025-05-11 23:46:31
31,A simplicidade de conseguir naturalmente,Aliquid deserunt quod ipsam. Vitae consequatur perspiciatis eius. Quaerat fuga architecto illum beatae sequi doloribus.,Vestuário,2521.92,2015.1,441,2025-05-11 23:46:31,2025-05-11 23:46:31
32,O poder de inovar com força total,"Quos vitae sed quibusdam voluptate. Repudiandae sint rerum soluta dicta.
Qui odit quaerat nobis assumenda praesentium. Quasi necessitatibus eos a ut neque. Ad natus corporis et omnis rerum.",Eletrônicos,3094.37,2215.73,196,2025-05-11 23:46:31,2025-05-11 23:46:31
33,A certeza de realizar seus sonhos antes de tudo,Consequatur unde magnam nesciunt. Quis quos beatae quibusdam dolorum vero. Recusandae cupiditate dolorum dolore quae perspiciatis aliquam.,Móveis,4006.77,3158.05,56,2025-05-11 23:46:31,2025-05-11 23:46:31
34,O direito de atingir seus objetivos com toda a tranquilidade,"Eum officiis consectetur neque cumque. Hic repellat hic atque sunt explicabo.
Fugit dolor reprehenderit non minima repellat autem. Quod nemo laborum. A officia alias neque. Est ex nostrum soluta.",Vestuário,4358.87,2491.64,281,2025-05-11 23:46:31,2025-05-11 23:46:31
35,O conforto de ganhar direto da fonte,Consequuntur laborum vero totam hic ducimus. Quam in aspernatur est aliquam maxime. Distinctio placeat perferendis nobis quisquam. Maiores aliquid provident maiores.,Alimentos,2023.67,1004.21,232,2025-05-11 23:46:31,2025-05-11 23:46:31
36,A segurança de evoluir de maneira eficaz,Numquam quos sed nemo deserunt minus aliquid. Vitae asperiores porro voluptatem vel voluptatum corrupti. Consectetur cum minima.,Alimentos,4733.03,2372.72,250,2025-05-11 23:46:31,2025-05-11 23:46:31
37,O conforto de conseguir naturalmente,Dolorem sed mollitia nostrum delectus at. Quod impedit in quo. Culpa ipsum incidunt adipisci unde quos sapiente.,Livros,3646.75,2031.79,495,2025-05-11 23:46:31,2025-05-11 23:46:31
38,A simplicidade de ganhar simplesmente,Necessitatibus voluptates quo a nihil veniam numquam illo. Aliquam corrupti sapiente a excepturi harum a facere. Accusantium ullam enim dolorem dolor unde quidem.,Móveis,1800.94,1378.54,268,2025-05-11 23:46:31,2025-05-11 23:46:31
39,O conforto de concretizar seus projetos em estado puro,Dignissimos cumque numquam facere esse ad. Aut voluptatem deserunt ducimus vitae odit porro. Sequi dolorum nemo dolor mollitia eaque blanditiis voluptates.,Livros,1203.74,713.1,327,2025-05-11 23:46:31,2025-05-11 23:46:31
40,A possibilidade de atingir seus objetivos com toda a tranquilidade,Sequi libero non in. Assumenda nesciunt assumenda recusandae labore sapiente. Dolor explicabo unde recusandae.,Eletrônicos,1896.27,820.09,342,2025-05-11 23:46:31,2025-05-11 23:46:31
41,A possibilidade de avançar com confiança,Laborum ad veritatis quis iusto ab rem. Esse reprehenderit inventore vero atque temporibus. Consequuntur ut voluptatum.,Livros,1844.79,1147.2,75,2025-05-11 23:46:31,2025-05-11 23:46:31
42,O direito de realizar seus sonhos sem preocupação,"Nesciunt fugiat eius. Placeat iure possimus rerum eligendi aut.
Dolor dolorum animi vitae rerum. Asperiores repellendus amet.
Molestiae magni nulla id. Quis delectus illo animi nostrum amet ad.",Alimentos,3340.26,2593.68,459,2025-05-11 23:46:31,2025-05-11 23:46:31
43,A segurança de evoluir mais rapidamente,"Quis blanditiis maiores quam inventore. Voluptates dolorem quia sunt nesciunt suscipit nulla.
Ullam asperiores voluptatum voluptatum incidunt provident. Vitae consectetur consequatur quos cupiditate.",Móveis,599.01,422.76,214,2025-05-11 23:46:31,2025-05-11 23:46:31
44,O poder de atingir seus objetivos antes de tudo,Saepe fugiat eos debitis recusandae. Sit consequatur distinctio porro dolor. Quae repellendus autem eveniet. Non accusantium consequuntur quidem doloremque nihil.,Móveis,2528.28,1876.81,91,2025-05-11 23:46:31,2025-05-11 23:46:31
45,O poder de concretizar seus projetos com toda a tranquilidade,"Velit enim quos voluptatem. Rerum ex consequatur minima et. Quidem amet qui eos laborum quasi reprehenderit.
Non libero temporibus quasi.",Móveis,1437.99,770.19,70,2025-05-11 23:46:31,2025-05-11 23:46:31
46,A possibilidade de ganhar de maneira eficaz,"Cum enim tempora repellat dolores incidunt vero itaque.
Adipisci quis veniam veniam optio aliquid sint quis. Quam necessitatibus sequi ullam repellat. Aperiam consectetur quo et cumque repudiandae.",Móveis,3436.64,2654.47,492,2025-05-11 23:46:31,2025-05-11 23:46:31
47,A simplicidade de concretizar seus projetos sem preocupação,Nemo nesciunt asperiores. Atque eligendi velit rerum quam. Architecto doloribus nam nostrum debitis maiores incidunt quia.,Eletrônicos,3891.38,2367.59,30,2025-05-11 23:46:31,2025-05-11 23:46:31
48,A segurança de realizar seus sonhos mais facilmente,"Eveniet officia ea sit sint magnam. Magnam illum dicta iste eligendi numquam.
Laudantium provident voluptatem explicabo. Impedit eius nobis tempora.",Livros,1842.03,1269.27,449,2025-05-11 23:46:31,2025-05-11 23:46:31
49,O conforto de inovar com confiança,"Ab eius laboriosam. Hic magni ea nulla necessitatibus voluptatibus.
Aperiam culpa suscipit placeat iste.
Corporis excepturi dolor deserunt.",Vestuário,3429.24,1594.37,407,2025-05-11 23:46:31,2025-05-11 23:46:31
50,A liberdade de atingir seus objetivos com confiança,Perferendis quis autem sed ut assumenda delectus. Magnam odio ipsum id a.,Livros,4451.22,2086.92,223,2025-05-11 23:46:31,2025-05-11 23:46:31
51,A possibilidade de ganhar simplesmente,"Sunt deleniti officia soluta. Voluptates odit rerum ex quae non tenetur.
Alias explicabo accusamus reprehenderit eligendi. Quasi illum atque nulla natus veritatis at.",Móveis,465.63,234.99,0,2025-05-11 23:46:31,2025-05-11 23:46:31
52,O conforto de avançar em estado puro,"Laborum similique nulla officiis veritatis aliquam. Quis error atque dolor tempora perspiciatis iure.
Est veritatis eaque modi hic sunt odit quod.
Fugiat id labore soluta eveniet.",Alimentos,2343.21,1213.52,151,2025-05-11 23:46:31,2025-05-11 23:46:31
53,A segurança de ganhar naturalmente,Commodi similique officia porro ut repellendus magni. Harum cumque earum nobis commodi quos velit. Iste porro aliquid eius.,Móveis,278.85,167.18,287,2025-05-11 23:46:31,2025-05-11 23:46:31
54,O prazer de inovar direto da fonte,Expedita reiciendis suscipit reiciendis perferendis eveniet explicabo. Porro quae nobis hic neque cupiditate recusandae ex. Pariatur dolorem cum praesentium.,Vestuário,2145.31,1423.85,305,2025-05-11 23:46:31,2025-05-11 23:46:31
55,O poder de evoluir de maneira eficaz,Fugit in cumque fugit iste impedit. Esse minima quisquam ullam expedita minus quod.,Eletrônicos,4227.2,3271.94,455,2025-05-11 23:46:31,2025-05-11 23:46:31
56,O prazer de ganhar sem preocupação,"Consequuntur nesciunt dolorem. Consectetur ipsum commodi autem ut aspernatur.
Quibusdam iste delectus voluptatibus temporibus. Tempora porro officia eos.",Eletrônicos,3341.85,1714.4,62,2025-05-11 23:46:31,2025-05-11 23:46:31
57,A simplicidade de atingir seus objetivos com toda a tranquilidade,Assumenda unde facilis aspernatur aliquam non. Ipsum at placeat sed itaque unde. Recusandae quae reiciendis ipsam saepe ut nisi.,Alimentos,1978.96,1439.91,84,2025-05-11 23:46:31,2025-05-11 23:46:31
58,A arte de mudar com toda a tranquilidade,Pariatur dolorum itaque. Possimus vel quia ipsa earum voluptatem quis. Dolore voluptatem iste vitae recusandae. Aliquid ad fuga nesciunt excepturi.,Livros,269.08,183.41,320,2025-05-11 23:46:31,2025-05-11 23:46:31
